start	text
0	СОЛ 6. Спаркл-двигатель был самым блестящим достижением эквестрийской прикладной тауматургии за всю историю её существования даже более выдающимся, чем самое продвинутое заклинание Старсвирла Бородатого, как пусть и неохотно, но всё же признавал старый пони, вытащенный из небытия.
19400	По своей сути, этот двигатель был артефактом, выполнявшим простейшее заклинание телепортации. Но тут стоило принять во внимание, что телепортация с Эквуса хотя бы даже на не столь далёкую, по космическим меркам, Луну требовала огромного, почти неизмеримого количества магии, потока, который могли выдать лишь элементы гармонии или сравнимые с ними артефакты.
44400	Но между тем, более короткие прыжки требовали экспоненциально меньших затрат магии, поэтому достаточно одарённый единорог мог телепортироваться из одного конца большой комнаты в другой, даже не моргнув глазом.
58100	Все эти вещи были известны с самого основания Эквестрии. Но именно Твайлайт Спаркл первая осознала, что миллионом крошечных телепортаций можно совершить то же путешествие, что и одним гигантским скачком, но с гораздо меньшими энергозатратами, и она же была той, кто с помощью Старлайт Глиммер создала артефакт с воплощёнными заклинаниями, который был способен делать это самостоятельно.
82460	Ограничивающими факторами для Спаркл двигателя стали лишь частота срабатывания и система подачи энергии, сколько магии он был способен пропустить через себя в устойчивом потоке и сколько раз за секунду сформировать заклинания.
99360	Первый двигатель на маленьком, полностью автоматизированном корабле был способен потреблять лишь тоненькую струйку магии и был построен на кварцевых резонаторах, что позволяло ему телепортироваться примерно на 2 метра с частотой в 32 тысячи раз в секунду.
115600	Он совершил перелёт с орбиты Эквуса на орбиту Луны полёт, который потребовал бы на обычных ракетных двигателях минимум двух суток всего за два часа.
126720	Второй двигатель, испытанный уже Rainbow Dash и самый Twilight Sparkle, был установлен на стандартной спускаемой капсуле, рассчитанной на трёхпони.
136040	Имел втрое большую мощность и использовал интегральный микропроцессор вместо кристалла кварца.
142700	Позволил совершить тот же самый перелёт уже за 20 минут.
147160	Оба рейса закончились без каких-либо сбоев, неисправностей или происшествий.
152359	Третий полёт на лунную орбиту уже совершил корабль Amicitas.
155680	Полностью переоборудованный для использования новейшего изобретения,
159380	ракетные двигатели вместе с баками, содержавшими химическое топливо для них,
164579	были сняты и заменены на маносиловые установки,
167760	что позволило создать отдельную инженерную палубу для размещения Sparkle двигателя
