[0]:  «Сол-6»
[2]:  Спаркл-двигатель был самым блестящим достижением
[5]:  эквестрийской прикладной тауматургии за всю историю
[7]:  её существования даже более выдающимся, чем самое
[11]:  продвинутое заклинание Старсвирла Бородатова.
[14]:  Как пусть и неохотно, но всё же признавал старый
[17]:  пони, вытащенный из небытия.
[20]:  По своей сути, этот двигатель был артефактом, выполнявшим
[24]:  простейшее заклинание телепортации.
[26]:  Но тут стоило принять во внимание, что телепортация
[29]:  с эквуса, хотя бы даже на не столь далёкую, по космическим
[33]:  меркам, Луну, требовало огромного, почти неизмеримого
[37]:  количества магии — потока, который могли выдать лишь
[41]:  элементы гармонии или сравнимые с ними артефакты.
[45]:  Но между тем, более короткие прыжки требовали экспоненциально
[49]:  меньших затрат магии.
[51]:  Поэтому достаточно одарённый единорог мог телепортироваться
[54]:  из одного конца большой комнаты в другой, даже не
[57]:  моргнув глазом.
[58]:  Все эти вещи были известны с самого основания Эквестрии.
[63]:  Но именно Twilight Sparkle первая осознала, что миллионам
[66]:  крошечных телепортаций можно совершить то же путешествие,
[70]:  что и одним гигантским скачком, но с гораздо меньшими
[73]:  энергозатратами, и она же была той, кто с помощью
[75]:  Starlight Glimmer создала артефакт с воплощёнными заклинаниями,
[80]:  который был способен делать это самостоятельно.
[82]:  Ограничивающими факторами для Sparkle двигателя стали
[87]:  лишь частота срабатывания и система подачи энергии,
[91]:  сколько магии он был способен пропустить через себя в
[94]:  устойчивом потоке и сколько раз за секунду сформировать
[98]:  заклинание.
[99]:  Первый двигатель на маленьком, полностью автоматизированном
[103]:  корабле был способен потреблять лишь тоненькую струйку
[106]:  магии и был построен на кварцевых резонаторах,
[110]:  что позволяло ему телепортироваться примерно на два метра с
[112]:  частотой в 32 тысячи раз в секунду.
[116]:  Он совершил перелёт с орбиты Эквуса на орбиту Луны-полёт,
[120]:  который потребовал бы на обычных ракетных двигателях
[123]:  минимум двух суток всего за два часа.
[126]:  Второй двигатель, испытанный уже Rainbow Dash и самый Twilight Sparkle,
[132]:  был установлен на стандартной спускаемой капсуле, рассчитанной
[135]:  на трёхпоне.
[136]:  Имел втрое большую мощность и использовал интегральный
[139]:  микропроцессор вместо кристалла кварца, позволил совершить
[143]:  тот же самый перелёт уже за 20 минут.
[147]:  Оба рейса закончились без каких-либо сбоев, неисправностей
[150]:  или происшествий.
[152]:  Третий полёт на лунную орбиту уже совершил корабль
[155]:  Amicitas.
[156]:  Полностью переоборудованные для использования новейшего
[158]:  изобретения ракетные двигатели вместе с баками, содержавшими
[162]:  химическое топливо для них, были сняты и заменены
[165]:  на манно-силовые установки, что позволило создать отдельную
